,count,name
0,25072,Civilians (Syria)
1,8849,Islamic State (Syria)
2,5218,Opposition Rebels (Syria)
3,4857,Military Forces of Syria (2000-)
4,4070,QSD: Syrian Democratic Forces
5,2042,HTS: Hayat Tahrir al Sham
6,1649,Unidentified Armed Group (Syria)
7,1465,YPG: Peoples Protection Units
8,866,Islamist Militia (Syria)
9,409,AAS: Ahrar al Sham
10,373,Militia (Pro-Government)
11,344,FaR: Al Rahman Corps
12,344,Military Forces of Turkey (2016-)
13,336,Operation Peace Spring
14,331,JTW: National Liberation Front
15,320,Khalid ibn al Walid Army
16,259,Jaysh al Islam
17,179,Military Forces of Russia (2000-)
18,162,Asayish (Syria)
19,159,Military Forces of Syria (2000-) 4th Armored Division
20,157,JSH: Free Syrian Army
21,147,QDW: National Defense Forces
22,138,Al Sham Corps
23,130,Military Forces of Syria (2000-) Air Force Intelligence Directorate
24,128,Militia (Pro-Iran)
25,122,Military Forces of Syria (2000-) Military Intelligence
26,119,Hezbollah
27,116,JWS: Syrian National Army
28,105,Jaysh al Izza
29,101,Jabhat Fateh al Sham
30,100,Civilians (Iraq)
31,90,National Police Forces
32,89,Military Forces of Syria (2000-) Syrian Arab Air Force
33,89,HNDZ: Nour al Din al Zinki Movement
34,87,Al Fath Al Mubeen Operation Room
35,81,Hurras al Deen
36,80,Global Coalition Against Daesh
37,76,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps
38,74,JTS: Syria Liberation Front
39,63,Military Forces of Syria (2000-) 5th Assault Corps
40,63,JaS: Levant Front
41,62,Protesters (Syria)
42,56,Sultan Murad Division
43,54,Ahrar al Sharqiyah
44,53,Ahmad al Abdo Forces
45,51,LaQ: Quds Brigade
46,49,TIP: Turkistan Islamic Party
47,49,Hamza Division - Aleppo
48,44,HXP: Self-Defense Forces
49,43,Military Forces of Israel (2009-)
50,43,As-Sweida Communal Militia (Syria)
51,39,Police Forces of Syria (2000-)
52,36,Operation Euphrates Shield
53,35,Wa Harredh al Moa'mineen Operation Room
54,31,Islamist Rebels (Syria)
55,31,Suquor al Sham
56,31,Unidentified Military Forces
57,31,Free Syrian Police
58,30,Former Operation Euphrates Shield
59,28,Qaterji Militia
60,28,Police Forces of Syria (2000-) State Security
61,28,Jaysh al Nasr
62,27,JOS: Lions of the East Army
63,26,Dar'a Popular Resistance
64,24,Military Forces of Iran (1989-)
65,23,QSD: Syrian Democratic Forces - Intelligence
66,22,Former Operation Olive Branch
67,22,Banyan al Marsus
68,21,Operation Olive Branch
69,21,Fatemiyoun Brigade
70,21,Unidentified Tribal Militia (Syria)
71,21,Free Idlib Army
72,20,Jaysh al Ahrar
73,20,Civilians (International)
74,19,Military Forces of Syria (2000-) State Security
75,19,Kurdish Ethnic Militia (Syria)
76,19,Military Forces of Syria (2000-) Syrian Republican Guard
77,18,Liberation Army of Afrin
78,17,JaT: Army of Revolutionaries
79,16,JTR: Front of Raqqa Revolutionaries
80,15,LAS: Northern Storm Brigade
81,14,Rioters (Syria)
82,13,1st Coastal Division
83,12,Al-Fath Al-Mubeen Operation Room
84,12,Hamza Brigade
85,12,Wa Harredh al Moa'mineen
86,12,Sultan Suleiman Shah Brigade (Syria)
87,11,Liwa al Aqsa
88,11,Union of the Forces of Jabal al Sheikh
89,11,Al Mu'tasim Brigade
90,10,Liwa al Baqir
91,10,Sheikh al-Karama
92,10,YPG: Peoples Protection Units - Anti-Terror Unit
93,10,Ansar al Tawhid
94,10,Fathbatou Operation Room
95,10,Syriac Military Council (Syria)
96,10,3rd Corps
97,10,Jaysh al Nukhba
98,9,JTS: Syrian Revolutionaries Front
99,9,Jund al Aqsa
100,8,Police Forces of Syria (2000-) Political Intelligence
101,8,Menbij Military Council
102,8,PYD: Kurdish Democratic Union Party
103,8,Police Forces of Syria (2000-) General Intelligence Directorate
104,8,Sharqiya Army
105,8,Military Forces of Syria (2000-) Tiger Paramilitary Forces (Qawat al Nimr)
106,7,Military Forces of Syria (2000-) 52 Armored Brigade
107,7,Military Forces of Syria (2000-) 15th Division Special Forces
108,7,Mutiny of Islamic State (Syria)
109,7,KNC: Kurdish National Council
110,7,JeA: Ababil Horan Battalion
111,7,Liwa Fajr al Umma
112,6,Sham Liberation Army
113,6,Civilians (Palestine)
114,6,Ras al Sufuf Operations Room
115,6,Druze Militia (Syria)
116,6,Al Wosta Division
117,6,Al Bab Communal Militia (Syria)
118,6,Military Forces of Jordan (1999-)
119,6,MFS: Syriac Military Council
120,6,Private Security Forces (Syria)
121,6,Unidentified Clan Militia (Syria)
122,6,Syriac Security Office (Syria)
123,6,JAA: Army of Free Tribes
124,5,Kataib Hezbollah (Iraq)
125,5,JaS: Al Sanadid Forces (Syria)
126,5,Military Forces of Syria (2000-) 5th Armored Division
127,5,Southern Front
128,5,Former Opposition Rebels (Syria)
129,5,Thuwar al Sham Battalion
130,5,AAK: Ajnad al Kavkaz
131,5,20th Division
132,5,Army of Mujahideen
133,5,Liwa Sham al Rasul
134,5,Shuhada'a Al-Sharqiyyah Division
135,5,Popular Resistance for the Liberation of the Golan (Syria)
136,5,Omari Brigades
137,5,Farouq Battalions
138,5,Syrian Resistance
139,5,Allied Syrian and/or Russian Forces
140,4,Malhama Tactical
141,4,Civilians (Russia)
142,4,Muntasr Billah Battalion
143,4,Ahrar Jabal al Sheikh
144,4,Military Forces of Syria (2000-) 112th Brigade
145,4,Sultan Mohmmad al Fatih
146,4,Popular Committees
147,4,JMT: Army of the Commandos of the Revolution
148,4,Mutiny of Military Forces of Syria (2000-)
149,4,Golan Regiment
150,4,PLA: Palestine Liberation Army
151,4,Former Islamic State (Syria)
152,4,Military Forces of Syria (2000-) Political Intelligence
153,4,YPJ: Women's Protection Units
154,4,Military Forces of Russia (2000-) Military Police
155,4,Faylaq al Majd
156,4,Syrian Elite Forces
157,4,Civilians (Indonesia)
158,4,JFS: Al Nusra Front (Muhammad Brigade)
159,4,Military Forces of Syria (2000-) 17th Division
160,4,Military Forces of Iraq (2020-) Popular Mobilization Forces
161,4,Military Forces of Syria (2000-) 90th Armored Brigade
162,4,Civilians (Jordan)
163,4,Military Forces of Syria (2000-) Border Guards
164,3,Military Forces of Turkey (2016-) Gendarmerie
165,3,Gharanij Communal Militia (Syria)
166,3,Military Forces of Iraq (2014-2018) Popular Mobilization Forces
167,3,Tafas Communal Militia (Syria)
168,3,Mutiny of YPG: Peoples Protection Units
169,3,JMA: Army of Emigrants and Supporters
170,3,Military Forces of Syria (2000-) 11th Armored Division
171,3,Military Forces of Syria (2000-) 25th Armored Division
172,3,Azaz Communal Militia (Syria)
173,3,Northern Hawks Brigade
174,3,Der'e al Hasakeh
175,3,Zainabiyoun Brigade
176,3,Government of Russia (2000-)
177,3,Military Forces of Russia (2000-) Special Forces
178,3,Jaysh al Tawhid
179,3,Karak Communal Militia (Syria)
180,3,Aknaf Bait al Maqdis
181,3,Abu Amara Brigade
182,3,QSS: Youth of Sunna Forces
183,3,5th Corps
184,3,Ahrar al Hasakah Gathering (Syria)
185,3,Ajnad al Sham Islamic Union
186,3,Al Zu'bi Tribal Militia (Syria)
187,3,Salakhed Communal Militia (Syria)
188,2,Private Security Forces (Russia)
189,2,Government of Iran (1989-)
190,2,Military Forces of Syria (2000-) Prison Guards
191,2,Ferwan Communal Militia (Syria)
192,2,Talbiseh Communal Militia (Syria)
193,2,Khalid ibn al Walid Brigade
194,2,JaT: Revolutionary Army
195,2,Liwa Samarkand
196,2,Sham al-Islam
197,2,Government of the United States (2017-2021)
198,2,Al-Maghawir Forces
199,2,Islamic State (International)
200,2,Liwa Fajr al Umma 
201,2,Tell Hadara Communal Militia (Syria)
202,2,PIJ: Palestinian Islamic Jihad
203,2,Deir-ez-Zor Revolutionaries Gathering
204,2,51st Brigade
205,2,Jarablus Communal Militia (Syria)
206,2,Samkeh Communal Militia (Syria)
207,2,102nd Brigade
208,2,18 March Division
209,2,Islamic State (Iraq)
210,2,Imam Bukhari Battalion
211,2,Military Forces of Syria (2000-) 7th Armored Division
212,2,Civilians (Turkey)
213,2,Al-Dur Communal Militia (Syria)
214,2,FUS: Lions of Sunnah Division
215,2,YPG: Peoples Democratic Forces - Anti-Terror Unit
216,2,Busra Esh-Sham Communal Militia (Syria)
217,2,Al-Sham Corps
218,2,HPC: Essential Protection Forces
219,2,Ariqa Communal Militia (Syria)
220,2,Government of the United States (2017-)
221,2,Al Qaeda
222,2,Military Forces of Syria (2000-) 1st Armored Division
223,2,Al-Kubar Communal Militia (Syria)
224,2,MDA: Deir-ez-Zor Military Council
225,2,Civilians (United Kingdom)
226,2,Mutiny of QDW: National Defense Forces
227,2,Al-Afadilah Tribal Militia (Syria)
228,2,Daraya Unit
229,2,KDP: Kurdistan Democratic Party
230,2,Hamza Bin Abdul Muttalib
231,2,Repel the Invaders Operation Room
232,2,Snideh Communal Militia (Syria)
233,2,Military Forces of Iraq (2018-) Popular Mobilization Forces
234,2,JFS: Al Nusra Front
235,2,Mare' Military Council
236,2,Raqqa Internal Security Forces
237,2,LaF: Battalion of Conquest
238,2,23rd Division
239,2,Abu Al Fadl Al Abbas Forces
240,2,Humat Al-Aqeeda (Syria)
241,2,Civilians (Iran)
242,2,Mutiny of FaR: Al Rahman Corps
243,2,Al-Izba Communal Militia (Syria)
244,2,Al Hulaybeen Tribal Militia (Syria)
245,2,Deir-ez-Zor Communal Militia (Syria)
246,2,Islamic Freedom Brigade
247,2,Diwan al Hisbah
248,2,JaF: Army of Conquest
249,2,Liwa Haydaryoun
250,2,Military Forces of Iraq (2018-2020) Popular Mobilization Forces
251,2,The South Central Operations Room
252,2,Hssein Communal Militia (Syria)
253,2,Military Forces of Iraq (2014-2018)
254,2,Ansar al Sham Battalion
255,2,Mutiny of Islamist Militia (Syria)
256,2,Military Forces of Syria (2000-) 3rd Armored Division
257,2,Shiite Muslim Militia (Syria)
258,2,Military Council
259,2,Civilians (United States)
260,2,Mutiny of QSD: Syrian Democratic Forces
261,2,QSF: Qalamoon Shield Forces
262,2,Jdid Ekeidat Communal Militia (Syria)
263,2,4th Legion
264,2,Sukaryu Communal Militia (Syria)
265,2,2nd Coastal Division
266,2,Al-Bujamil Tribal Militia (Syria)
267,2,Civilians (Tajikistan)
268,2,Tafas Tribal Militia (Syria)
269,2,Military Forces of Syria (2000-) 9th Armored Division
270,2,Security Executive Force
271,2,Government of Israel (2009-)
272,2,Military Forces of Syria (2000-) 8th Division
273,2,As-Sanamayn Communal Militia (Syria)
274,2,Rural Damascus Communal Militia (Syria)
275,2,Ajnad al Sham
276,2,Elhisan Communal Militia (Syria)
277,2,As-Sweida Bedouins Tribal Militia (Syria)
278,2,Ma'arrat An Nu'man Communal Militia (Syria)
279,2,9th Division Special Forces
280,2,Military Forces of Iran (1989-) Quds Force
281,2,Rijal al Karama
282,2,Government of Syria (2000- )
283,2,Al Maghawir Division
284,2,Communal Militia (Syria)
285,2,Ash-Shajara Communal Militia (Syria)
286,2,Jizeh Communal Militia (Syria)
287,2,Mujahideen of Horan
288,2,LAFA: Abu Al Fadhal al Abbas Brigade
289,1,Abna'a al Qadasya
290,1,Al Haramain Brigade
291,1,Tell Abiad Communal Militia (Syria)
292,1,Darwasha Clan Militia (Syria)
293,1,Ajnad al Hasakah
294,1,Syrian Salvation Government
295,1,Assal al Ward Communal Militia (Syria)
296,1,Hananu Brigade (Syria)
297,1,Ariha Communal Militia (Syria)
298,1,Abna al Sham (Idleb)
299,1,Soyouf al Islam Battalion
300,1,Menbij Internal Security Forces
301,1,Boumaish Clan Militia (Syria)
302,1,Shuhada al Islam
303,1,Mare' Communal Militia (Syria)
304,1,Aghtrin Communal Militia (Syria)
305,1,Niyarah Communal Militia (Syria)
306,1,Saraqeb Revolutionary Front
307,1,Momtaneh Communal Militia (Syria)
308,1,Nahta Communal Militia (Syria)
309,1,Eastern Ghouta Communal Militia (Syria)
310,1,QSD: Syrian Democratic Forces Military Police
311,1,Thiban Communal Militia (Syria)
312,1,Orman Communal Militia (Syria)
313,1,Breiha Communal Militia (Syria)
314,1,Civilians (Algeria)
315,1,Jaysh al Thani
316,1,Eastern Shield Army
317,1,National Coalition Of Syrian Revolution and Opposition Forces
318,1,Baghuz Communal Militia (Syria)
319,1,Dar'a Communal Militia (Syria)
320,1,Jaysh Al Ahfad
321,1,Shar'a Tribal Militia (Syria)
322,1,Al Jabbour Tribal Militia (Syria)
323,1,Maram Communal Militia (Syria)
324,1,Azmarin Communal Militia (Syria)
325,1,Shamarekh Communal Militia (Syria)
326,1,Mutaaz Billah Army
327,1,Liwa Saif al Islam
328,1,Shiheil Communal Group (Syria)
329,1,Kataib al Majd
330,1,Islamist Militia (International)
331,1,Qminas Communal Militia (Syria)
332,1,Louzi Communal Militia (Syria)
333,1,Al Bubatoush Tribal Militia (Syria)
334,1,Al Muwali Tribal Group (Syria)
335,1,Kishkiyeh Communal Group (Syria)
336,1,Al Ahrar Assembly
337,1,Unidentified Armed Group (International)
338,1,Quneitra Hawks
339,1,Walgha Communal Militia (Syria)
340,1,Buferio Tribal Militia (Syria)
341,1,Government of Syria (2000-)
342,1,Alwiya al Furqan
343,1,Katibat Jabal al Islam
344,1,Shamarin Communal Militia (Syria)
345,1,Iz al Islam Battalion
346,1,Kurdish Falcons Brigade
347,1,Revolutionary Command Council of Quneitra and the Golan
348,1,Kafr Takharim Communal Militia (Syria)
349,1,Khan Shaykun Communal Militia (Syria)
350,1,1st Infantry Division
351,1,Qasim Communal Militia (Syria)
352,1,Military Forces of the United States (2017-2021)
353,1,Ilyas Communal Militia (Syria)
354,1,Abu Ma'shi Tribal Militia (Syria)
355,1,Liwa Tawhid al Janoub
356,1,Military Forces of Iraq (2020-)
357,1,JaY: Yarmouk Army
358,1,Government of Jordan (1999-)
359,1,Brigade 135
360,1,Unified Operation Room - Idleb
361,1,JWS: Syrian National Army- 1st Brigade
362,1,Al Jaghayfa Tribal Militia (Syria)
363,1,Bsames Communal Militia (Syria)
364,1,As Sweida Communal Militia (Syria)
365,1,Tall Refaat Communal Militia (Syria)
366,1,Eblin Communal Militia (Syria)
367,1,Idlib Martyrs' Brigade
368,1,Ashbal al Ma'ara
369,1,Shuhada Badr
370,1,Abu Amara Brigade: Special Task Brigade
371,1,Jabhat Ansar al Islam
372,1,Lions of the East
373,1,JaN: Elite Army
374,1,Druze Ethnic Militia (Syria)
375,1,Liwa al Hurriyah al Islami
376,1,Katibat Ahrar al Janub
377,1,Military Forces of Syria (2000-) 61st Infantry Brigade
378,1,Shaitat Tribal Militia (Syria)
379,1,Jazaa Communal Militia (Syria)
380,1,Idleb Communal Militia (Syria)
381,1,Ansar Abu Bakr al Saddiq Brigade
382,1,Buhayra Communal Militia (Syria)
383,1,Farqat Abna' al Qadisiya
384,1,Hadidiyin Tribal Militia (Syria)
385,1,Sarmada Communal Militia (Syria)
386,1,National Front for the Liberation of Syria
387,1,Military Forces of Syria (2000-) 47th Armored Brigade
388,1,Muslim Brotherhood (Syria)
389,1,Ansar al Din Front (Syria)
390,1,Abu Ma'shi Tribal Militia
391,1,Al Sukhnah Tribal Militia (Syria)
392,1,Ahrar Goweiran (Syria)
393,1,DFLP: Democratic Front for the Liberation of Palestine
394,1,Al Farrera Communal Militia (Syria)
395,1,1st Regiment
396,1,Former Mutaaz Billah Army
397,1,Kanaker Communal Group (Syria)
398,1,Zir Communal Militia (Syria)
399,1,Duat al Jihad Center
400,1,Liwa al-Haqq (Idleb)
401,1,Liwa al Karama
402,1,Mutiny of AAS: Ahrar al Sham
403,1,Qusayr Communal Militia (Syria)
404,1,Thiban Communal Group (Syria)
405,1,Al Qatri Communal Militia (Syria)
406,1,Ain al Arab Communal Militia (Syria)
407,1,Hajin Communal Militia (Syria)
408,1,Liwa al Fursan
409,1,Al Sham Division
410,1,Mutiny of HTS: Hayat Tahrir al Sham
411,1,Al Malahim Division
412,1,Abu Bakr as-Siddiq Army
413,1,Baza'a Communal Militia (Syria)
414,1,Hammam al Turkman Communal Militia (Syria)
415,1,Bayraq Al-Ezz (Syria)
416,1,Albu Kassar Tribal Militia (Syria)
417,1,Police Forces of Turkey (2016-) National Intelligence Organization
418,1,Unidentified Armed Group (Palestine)
419,1,Kanaker Communal Militia (Syria)
420,1,Tal Adah Battalion
421,1,QaL: Galilee Forces
422,1,Rankus Communal Militia (Syria)
423,1,Northern Democratic Brigade
424,1,Syrian Interim Government
425,1,They Were Wronged Operations Room
426,1,Former Ahrar al Sham
427,1,Shiheil Communal Militia (Syria)
428,1,Bakkara Youth Gathering (Syria)
429,1,Military Forces of Syria (2000-) 12th Armored Brigade
430,1,Shahba Communal Militia (Syria)
431,1,Fawj Maghawir al Badiya
432,1,Knights of the Golan
433,1,Al Dalawiyah Communal Militia (Syria)
434,1,Shin Communal Militia (Syria)
435,1,Hama Communal Militia (Syria)
436,1,Jund Badr 313
437,1,Al Bakeer Tribal Militia (Syria)
438,1,Qanawat Communal Militia (Syria)
