name,0
Civilians (Syria),0
Islamic State (Syria),1
Opposition Rebels (Syria),2
Military Forces of Syria (2000-),3
QSD: Syrian Democratic Forces,4
HTS: Hayat Tahrir al Sham,5
Unidentified Armed Group (Syria),6
YPG: Peoples Protection Units,7
Islamist Militia (Syria),8
AAS: Ahrar al Sham,9
Militia (Pro-Government),10
FaR: Al Rahman Corps,11
Military Forces of Turkey (2016-),12
Operation Peace Spring,13
JTW: National Liberation Front,14
Khalid ibn al Walid Army,15
Jaysh al Islam,16
Military Forces of Russia (2000-),17
Asayish (Syria),18
Military Forces of Syria (2000-) 4th Armored Division,19
JSH: Free Syrian Army,20
QDW: National Defense Forces,21
Al Sham Corps,22
Military Forces of Syria (2000-) Air Force Intelligence Directorate,23
Militia (Pro-Iran),24
Military Forces of Syria (2000-) Military Intelligence,25
Hezbollah,26
JWS: Syrian National Army,27
Jaysh al Izza,28
Jabhat Fateh al Sham,29
Civilians (Iraq),30
National Police Forces,31
Military Forces of Syria (2000-) Syrian Arab Air Force,32
HNDZ: Nour al Din al Zinki Movement,33
Al Fath Al Mubeen Operation Room,34
Hurras al Deen,35
Global Coalition Against Daesh,36
Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,37
JTS: Syria Liberation Front,38
Military Forces of Syria (2000-) 5th Assault Corps,39
JaS: Levant Front,40
Protesters (Syria),41
Sultan Murad Division,42
Ahrar al Sharqiyah,43
Ahmad al Abdo Forces,44
LaQ: Quds Brigade,45
TIP: Turkistan Islamic Party,46
Hamza Division - Aleppo,47
HXP: Self-Defense Forces,48
Military Forces of Israel (2009-),49
As-Sweida Communal Militia (Syria),50
Police Forces of Syria (2000-),51
Operation Euphrates Shield,52
Wa Harredh al Moa'mineen Operation Room,53
Islamist Rebels (Syria),54
Suquor al Sham,55
Unidentified Military Forces,56
Free Syrian Police,57
Former Operation Euphrates Shield,58
Qaterji Militia,59
Police Forces of Syria (2000-) State Security,60
Jaysh al Nasr,61
JOS: Lions of the East Army,62
Dar'a Popular Resistance,63
Military Forces of Iran (1989-),64
QSD: Syrian Democratic Forces - Intelligence,65
Former Operation Olive Branch,66
Banyan al Marsus,67
Operation Olive Branch,68
Fatemiyoun Brigade,69
Unidentified Tribal Militia (Syria),70
Free Idlib Army,71
Jaysh al Ahrar,72
Civilians (International),73
Military Forces of Syria (2000-) State Security,74
Kurdish Ethnic Militia (Syria),75
Military Forces of Syria (2000-) Syrian Republican Guard,76
Liberation Army of Afrin,77
JaT: Army of Revolutionaries,78
JTR: Front of Raqqa Revolutionaries,79
LAS: Northern Storm Brigade,80
Rioters (Syria),81
1st Coastal Division,82
Al-Fath Al-Mubeen Operation Room,83
Hamza Brigade,84
Wa Harredh al Moa'mineen,85
Sultan Suleiman Shah Brigade (Syria),86
Liwa al Aqsa,87
Union of the Forces of Jabal al Sheikh,88
Al Mu'tasim Brigade,89
Liwa al Baqir,90
Sheikh al-Karama,91
YPG: Peoples Protection Units - Anti-Terror Unit,92
Ansar al Tawhid,93
Fathbatou Operation Room,94
Syriac Military Council (Syria),95
3rd Corps,96
Jaysh al Nukhba,97
JTS: Syrian Revolutionaries Front,98
Jund al Aqsa,99
Police Forces of Syria (2000-) Political Intelligence,100
Menbij Military Council,101
PYD: Kurdish Democratic Union Party,102
Police Forces of Syria (2000-) General Intelligence Directorate,103
Sharqiya Army,104
Military Forces of Syria (2000-) Tiger Paramilitary Forces (Qawat al Nimr),105
Military Forces of Syria (2000-) 52 Armored Brigade,106
Military Forces of Syria (2000-) 15th Division Special Forces,107
Mutiny of Islamic State (Syria),108
KNC: Kurdish National Council,109
JeA: Ababil Horan Battalion,110
Liwa Fajr al Umma,111
Sham Liberation Army,112
Civilians (Palestine),113
Ras al Sufuf Operations Room,114
Druze Militia (Syria),115
Al Wosta Division,116
Al Bab Communal Militia (Syria),117
Military Forces of Jordan (1999-),118
MFS: Syriac Military Council,119
Private Security Forces (Syria),120
Unidentified Clan Militia (Syria),121
Syriac Security Office (Syria),122
JAA: Army of Free Tribes,123
Kataib Hezbollah (Iraq),124
JaS: Al Sanadid Forces (Syria),125
Military Forces of Syria (2000-) 5th Armored Division,126
Southern Front,127
Former Opposition Rebels (Syria),128
Thuwar al Sham Battalion,129
AAK: Ajnad al Kavkaz,130
20th Division,131
Army of Mujahideen,132
Liwa Sham al Rasul,133
Shuhada'a Al-Sharqiyyah Division,134
Popular Resistance for the Liberation of the Golan (Syria),135
Omari Brigades,136
Farouq Battalions,137
Syrian Resistance,138
Allied Syrian and/or Russian Forces,139
Malhama Tactical,140
Civilians (Russia),141
Muntasr Billah Battalion,142
Ahrar Jabal al Sheikh,143
Military Forces of Syria (2000-) 112th Brigade,144
Sultan Mohmmad al Fatih,145
Popular Committees,146
JMT: Army of the Commandos of the Revolution,147
Mutiny of Military Forces of Syria (2000-),148
Golan Regiment,149
PLA: Palestine Liberation Army,150
Former Islamic State (Syria),151
Military Forces of Syria (2000-) Political Intelligence,152
YPJ: Women's Protection Units,153
Military Forces of Russia (2000-) Military Police,154
Faylaq al Majd,155
Syrian Elite Forces,156
Civilians (Indonesia),157
JFS: Al Nusra Front (Muhammad Brigade),158
Military Forces of Syria (2000-) 17th Division,159
Military Forces of Iraq (2020-) Popular Mobilization Forces,160
Military Forces of Syria (2000-) 90th Armored Brigade,161
Civilians (Jordan),162
Military Forces of Syria (2000-) Border Guards,163
Military Forces of Turkey (2016-) Gendarmerie,164
Gharanij Communal Militia (Syria),165
Military Forces of Iraq (2014-2018) Popular Mobilization Forces,166
Tafas Communal Militia (Syria),167
Mutiny of YPG: Peoples Protection Units,168
JMA: Army of Emigrants and Supporters,169
Military Forces of Syria (2000-) 11th Armored Division,170
Military Forces of Syria (2000-) 25th Armored Division,171
Azaz Communal Militia (Syria),172
Northern Hawks Brigade,173
Der'e al Hasakeh,174
Zainabiyoun Brigade,175
Government of Russia (2000-),176
Military Forces of Russia (2000-) Special Forces,177
Jaysh al Tawhid,178
Karak Communal Militia (Syria),179
Aknaf Bait al Maqdis,180
Abu Amara Brigade,181
QSS: Youth of Sunna Forces,182
5th Corps,183
Ahrar al Hasakah Gathering (Syria),184
Ajnad al Sham Islamic Union,185
Al Zu'bi Tribal Militia (Syria),186
Salakhed Communal Militia (Syria),187
Private Security Forces (Russia),188
Government of Iran (1989-),189
Military Forces of Syria (2000-) Prison Guards,190
Ferwan Communal Militia (Syria),191
Talbiseh Communal Militia (Syria),192
Khalid ibn al Walid Brigade,193
JaT: Revolutionary Army,194
Liwa Samarkand,195
Sham al-Islam,196
Government of the United States (2017-2021),197
Al-Maghawir Forces,198
Islamic State (International),199
Liwa Fajr al Umma ,200
Tell Hadara Communal Militia (Syria),201
PIJ: Palestinian Islamic Jihad,202
Deir-ez-Zor Revolutionaries Gathering,203
51st Brigade,204
Jarablus Communal Militia (Syria),205
Samkeh Communal Militia (Syria),206
102nd Brigade,207
18 March Division,208
Islamic State (Iraq),209
Imam Bukhari Battalion,210
Military Forces of Syria (2000-) 7th Armored Division,211
Civilians (Turkey),212
Al-Dur Communal Militia (Syria),213
FUS: Lions of Sunnah Division,214
YPG: Peoples Democratic Forces - Anti-Terror Unit,215
Busra Esh-Sham Communal Militia (Syria),216
Al-Sham Corps,217
HPC: Essential Protection Forces,218
Ariqa Communal Militia (Syria),219
Government of the United States (2017-),220
Al Qaeda,221
Military Forces of Syria (2000-) 1st Armored Division,222
Al-Kubar Communal Militia (Syria),223
MDA: Deir-ez-Zor Military Council,224
Civilians (United Kingdom),225
Mutiny of QDW: National Defense Forces,226
Al-Afadilah Tribal Militia (Syria),227
Daraya Unit,228
KDP: Kurdistan Democratic Party,229
Hamza Bin Abdul Muttalib,230
Repel the Invaders Operation Room,231
Snideh Communal Militia (Syria),232
Military Forces of Iraq (2018-) Popular Mobilization Forces,233
JFS: Al Nusra Front,234
Mare' Military Council,235
Raqqa Internal Security Forces,236
LaF: Battalion of Conquest,237
23rd Division,238
Abu Al Fadl Al Abbas Forces,239
Humat Al-Aqeeda (Syria),240
Civilians (Iran),241
Mutiny of FaR: Al Rahman Corps,242
Al-Izba Communal Militia (Syria),243
Al Hulaybeen Tribal Militia (Syria),244
Deir-ez-Zor Communal Militia (Syria),245
Islamic Freedom Brigade,246
Diwan al Hisbah,247
JaF: Army of Conquest,248
Liwa Haydaryoun,249
Military Forces of Iraq (2018-2020) Popular Mobilization Forces,250
The South Central Operations Room,251
Hssein Communal Militia (Syria),252
Military Forces of Iraq (2014-2018),253
Ansar al Sham Battalion,254
Mutiny of Islamist Militia (Syria),255
Military Forces of Syria (2000-) 3rd Armored Division,256
Shiite Muslim Militia (Syria),257
Military Council,258
Civilians (United States),259
Mutiny of QSD: Syrian Democratic Forces,260
QSF: Qalamoon Shield Forces,261
Jdid Ekeidat Communal Militia (Syria),262
4th Legion,263
Sukaryu Communal Militia (Syria),264
2nd Coastal Division,265
Al-Bujamil Tribal Militia (Syria),266
Civilians (Tajikistan),267
Tafas Tribal Militia (Syria),268
Military Forces of Syria (2000-) 9th Armored Division,269
Security Executive Force,270
Government of Israel (2009-),271
Military Forces of Syria (2000-) 8th Division,272
As-Sanamayn Communal Militia (Syria),273
Rural Damascus Communal Militia (Syria),274
Ajnad al Sham,275
Elhisan Communal Militia (Syria),276
As-Sweida Bedouins Tribal Militia (Syria),277
Ma'arrat An Nu'man Communal Militia (Syria),278
9th Division Special Forces,279
Military Forces of Iran (1989-) Quds Force,280
Rijal al Karama,281
Government of Syria (2000- ),282
Al Maghawir Division,283
Communal Militia (Syria),284
Ash-Shajara Communal Militia (Syria),285
Jizeh Communal Militia (Syria),286
Mujahideen of Horan,287
LAFA: Abu Al Fadhal al Abbas Brigade,288
Abna'a al Qadasya,289
Al Haramain Brigade,290
Tell Abiad Communal Militia (Syria),291
Darwasha Clan Militia (Syria),292
Ajnad al Hasakah,293
Syrian Salvation Government,294
Assal al Ward Communal Militia (Syria),295
Hananu Brigade (Syria),296
Ariha Communal Militia (Syria),297
Abna al Sham (Idleb),298
Soyouf al Islam Battalion,299
Menbij Internal Security Forces,300
Boumaish Clan Militia (Syria),301
Shuhada al Islam,302
Mare' Communal Militia (Syria),303
Aghtrin Communal Militia (Syria),304
Niyarah Communal Militia (Syria),305
Saraqeb Revolutionary Front,306
Momtaneh Communal Militia (Syria),307
Nahta Communal Militia (Syria),308
Eastern Ghouta Communal Militia (Syria),309
QSD: Syrian Democratic Forces Military Police,310
Thiban Communal Militia (Syria),311
Orman Communal Militia (Syria),312
Breiha Communal Militia (Syria),313
Civilians (Algeria),314
Jaysh al Thani,315
Eastern Shield Army,316
National Coalition Of Syrian Revolution and Opposition Forces,317
Baghuz Communal Militia (Syria),318
Dar'a Communal Militia (Syria),319
Jaysh Al Ahfad,320
Shar'a Tribal Militia (Syria),321
Al Jabbour Tribal Militia (Syria),322
Maram Communal Militia (Syria),323
Azmarin Communal Militia (Syria),324
Shamarekh Communal Militia (Syria),325
Mutaaz Billah Army,326
Liwa Saif al Islam,327
Shiheil Communal Group (Syria),328
Kataib al Majd,329
Islamist Militia (International),330
Qminas Communal Militia (Syria),331
Louzi Communal Militia (Syria),332
Al Bubatoush Tribal Militia (Syria),333
Al Muwali Tribal Group (Syria),334
Kishkiyeh Communal Group (Syria),335
Al Ahrar Assembly,336
Unidentified Armed Group (International),337
Quneitra Hawks,338
Walgha Communal Militia (Syria),339
Buferio Tribal Militia (Syria),340
Government of Syria (2000-),341
Alwiya al Furqan,342
Katibat Jabal al Islam,343
Shamarin Communal Militia (Syria),344
Iz al Islam Battalion,345
Kurdish Falcons Brigade,346
Revolutionary Command Council of Quneitra and the Golan,347
Kafr Takharim Communal Militia (Syria),348
Khan Shaykun Communal Militia (Syria),349
1st Infantry Division,350
Qasim Communal Militia (Syria),351
Military Forces of the United States (2017-2021),352
Ilyas Communal Militia (Syria),353
Abu Ma'shi Tribal Militia (Syria),354
Liwa Tawhid al Janoub,355
Military Forces of Iraq (2020-),356
JaY: Yarmouk Army,357
Government of Jordan (1999-),358
Brigade 135,359
Unified Operation Room - Idleb,360
JWS: Syrian National Army- 1st Brigade,361
Al Jaghayfa Tribal Militia (Syria),362
Bsames Communal Militia (Syria),363
As Sweida Communal Militia (Syria),364
Tall Refaat Communal Militia (Syria),365
Eblin Communal Militia (Syria),366
Idlib Martyrs' Brigade,367
Ashbal al Ma'ara,368
Shuhada Badr,369
Abu Amara Brigade: Special Task Brigade,370
Jabhat Ansar al Islam,371
Lions of the East,372
JaN: Elite Army,373
Druze Ethnic Militia (Syria),374
Liwa al Hurriyah al Islami,375
Katibat Ahrar al Janub,376
Military Forces of Syria (2000-) 61st Infantry Brigade,377
Shaitat Tribal Militia (Syria),378
Jazaa Communal Militia (Syria),379
Idleb Communal Militia (Syria),380
Ansar Abu Bakr al Saddiq Brigade,381
Buhayra Communal Militia (Syria),382
Farqat Abna' al Qadisiya,383
Hadidiyin Tribal Militia (Syria),384
Sarmada Communal Militia (Syria),385
National Front for the Liberation of Syria,386
Military Forces of Syria (2000-) 47th Armored Brigade,387
Muslim Brotherhood (Syria),388
Ansar al Din Front (Syria),389
Abu Ma'shi Tribal Militia,390
Al Sukhnah Tribal Militia (Syria),391
Ahrar Goweiran (Syria),392
DFLP: Democratic Front for the Liberation of Palestine,393
Al Farrera Communal Militia (Syria),394
1st Regiment,395
Former Mutaaz Billah Army,396
Kanaker Communal Group (Syria),397
Zir Communal Militia (Syria),398
Duat al Jihad Center,399
Liwa al-Haqq (Idleb),400
Liwa al Karama,401
Mutiny of AAS: Ahrar al Sham,402
Qusayr Communal Militia (Syria),403
Thiban Communal Group (Syria),404
Al Qatri Communal Militia (Syria),405
Ain al Arab Communal Militia (Syria),406
Hajin Communal Militia (Syria),407
Liwa al Fursan,408
Al Sham Division,409
Mutiny of HTS: Hayat Tahrir al Sham,410
Al Malahim Division,411
Abu Bakr as-Siddiq Army,412
Baza'a Communal Militia (Syria),413
Hammam al Turkman Communal Militia (Syria),414
Bayraq Al-Ezz (Syria),415
Albu Kassar Tribal Militia (Syria),416
Police Forces of Turkey (2016-) National Intelligence Organization,417
Unidentified Armed Group (Palestine),418
Kanaker Communal Militia (Syria),419
Tal Adah Battalion,420
QaL: Galilee Forces,421
Rankus Communal Militia (Syria),422
Northern Democratic Brigade,423
Syrian Interim Government,424
They Were Wronged Operations Room,425
Former Ahrar al Sham,426
Shiheil Communal Militia (Syria),427
Bakkara Youth Gathering (Syria),428
Military Forces of Syria (2000-) 12th Armored Brigade,429
Shahba Communal Militia (Syria),430
Fawj Maghawir al Badiya,431
Knights of the Golan,432
Al Dalawiyah Communal Militia (Syria),433
Shin Communal Militia (Syria),434
Hama Communal Militia (Syria),435
Jund Badr 313,436
Al Bakeer Tribal Militia (Syria),437
Qanawat Communal Militia (Syria),438
